id,title,titleKr,artist,tj,ky,series_id,type
5db4a027-c4d4-4bb2-87b3-9b227872b406,Track 9,,이소라,48080,76159,,INSERT
08fedf5d-36ec-4d35-9721-a19623ee68a4,Get Over,,dream,25548,41950,,INSERT
0c2c6a9e-0a82-415c-95b4-f6bc4bea3d55,ボクらの冒険,,Kids Alive,26453,XXX,,INSERT
df8cb4e9-724e-4249-9667-77b314ebfea7,SINCERELY ever dream,,dream,26468,XXX,,INSERT
f1862ee2-fdbf-41c5-ad89-54a37b99d9ed,나나나,,나창현,15476,69695,,INSERT
78f0464c-27a4-4e36-aa52-a14b8b076a09,風になる,,츠지 아야노(つじあやの),25603,41959,,INSERT
09a15141-39ec-43dd-85e2-591fac9b2fc4,プリズム,,BAISER,26732,XXX,,INSERT
eccad0ad-f166-4454-83b4-bef87e51f8c5,oblivious,,Kalafina,26913,42846,,INSERT
e8329529-c362-46c6-8c48-2fef55801866,Aria,,Kalafina,27815,XXX,,INSERT
f46b1c39-4e73-4d09-9ab4-221dfc33692b,sprinter,,Kalafina,26980,XXX,,INSERT
4a13d630-5fc2-42c3-abf0-af291bf7ca11,fairytale,,Kalafina,27862ⓗ,43789,,INSERT
d2b1c4d0-0dc4-4239-a189-267741ea7828,アレルヤ,,Kalafina,28595ⓗ,XXX,,INSERT
cca6151e-88de-440c-a88f-36bfd3cb22dc,ガッチャマンの歌,,시몬 마사토(子門真人),25373,42741ⓗ,,INSERT
73469e6b-5ae0-432a-8ee9-8737b8e25812,독수리 오형제[3],,만화영화주제가,5382,3092,,INSERT
0b4c0bf1-14a5-4fbd-9e73-ce0e0a70657f,독수리 오형제[4],,만화영화주제가,35515,62275,,INSERT
b5dc6dd3-daaf-42be-94c6-010b94defc54,超妻賢母宣言,,MOSAIC.WAV,28633ⓗ,42834ⓗ,,INSERT
c1e49821-a06e-43e5-af59-1cb72c8b2261,片翼の鳥,,시카타 아키코(志方あきこ),26972,43144,,INSERT
21d35517-d04e-422c-a50a-baeb1aaa7886,la divina tragedia ~魔曲~[5],,JIMANG,26968,43167,,INSERT
c062fa80-f9c0-4e31-9092-a27ecb01d9e7,천사소녀네티,,"장정윤, 정호진[6]",18449,XXX,,INSERT
392f70b8-6918-47a6-94b4-8d3d261c99f8,ケモノミチ,,오노 다이스케(小野大輔),68393,44653,,INSERT
ab9d1071-2173-4eb7-8656-8b15da67ce64,跪いて足をお嘗め,,ALI PROJECT,28303ⓗ,42482,,INSERT
9d9d3750-0c63-4922-93de-b9d5a0d2d3d1,I'll,,Dir en grey,25205,42561,,INSERT
12afeacc-01f9-4ae6-8fc2-f88c7930cc36,날 막지마!,,전영호,77716,XXX,,INSERT
d5acf9bc-e97d-4ec4-b5da-ea56bc96f6a3,DAYS,,FLOW,26373,40107,,INSERT
09a4850c-b148-4181-aea9-4fb9c2ed9cf5,少年ハート,,HOME MADE 카조쿠(HOME MADE 家族),26801,42127,,INSERT
eecdcb6b-266b-43ee-92c2-16f9208377c6,秘密基地,,타카다 코즈에(高田梢枝),26392,XXX,,INSERT
31720ea1-4396-4bea-b827-3d1449f2371f,구름빵,,"박수용, 한빛빛소리 중창단",36578,87315,,INSERT
a4280975-42df-4944-a5bc-7e8e91066a9e,カントリー・ロード,,혼나 요코(本名陽子),26863,42333,,INSERT
f093720a-ffce-4c35-87f5-0053f63bd66a,紅蓮華,,LiSA,68047,44419,,INSERT
dffc89b6-6afe-4077-be32-5529e1d99b12,from the edge,,FictionJunction(Feat.LiSA),68103,44459,,INSERT
d9c3f062-ffe6-4f2a-ae2d-aad71ec4b3a9,竈門治郎のうた,,椎名豪(feat.中川奈美),68175,44506,,INSERT
9fe5fe0d-0858-4afc-9657-bed7892c5ff3,炎,,LiSA,68312,44601,,INSERT
08fb37d4-a743-426d-8c01-5a7203602bc9,明け星,,LiSA,68527,44724,,INSERT
633fc9e8-ef3b-4ad2-981f-8f12b6016334,白銀,,LiSA,68542,44727,,INSERT
c0e49361-f22a-4614-a8d8-238f4597178a,残響散歌,,Aimer,68552,44749,,INSERT
bd0483bb-92c4-4ca3-90dd-a2f1b850632f,朝が来る,,Aimer,68570,44750,,INSERT
